Name,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,BF,Strike Rate,Hundreds,Fifties,Ducks,Fours,Sixes
Zubaidi Zulkifle (MAS),2019-2024,60,59,3,1183,96,21.12,819,144.44,0,4,8,119,56
Yuvraj Singh (IND),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32
GH Dockrell (IRE),2010-2024,141,93,35,1170,58*,20.17,897,130.43,0,2,8,83,43
Hazratullah Zazai (AFG),2016-2024,45,45,3,1160,162*,27.61,874,132.72,1,3,3,110,66
S Davizi (CZK-R),2019-2024,32,31,3,1149,115*,41.03,827,138.93,3,6,1,124,40
FH Allen (NZ),2021-2024,47,47,0,1141,137,24.27,719,158.69,2,4,4,99,78
D Ndikubwimana (RWN),2021-2024,82,76,7,1138,69,16.49,1422,80.02,0,5,3,103,19
Afif Hossain (BAN),2018-2024,70,64,9,1117,77*,20.30,938,119.08,0,3,6,83,38
PD Salt (ENG),2022-2024,38,35,5,1106,119,36.86,669,165.32,3,4,3,103,58
Ibrahim Zadran (AFG),2019-2024,44,44,6,1105,72*,29.07,1030,107.28,0,8,1,97,24
SS Iyer (IND),2017-2023,51,47,11,1104,74*,30.66,811,136.12,0,8,4,90,44
Anshuman Rath (HKG),2015-2024,52,51,6,1098,72*,24.40,995,110.35,0,4,1,112,13
O Manishimwe (RWN),2022-2024,74,66,8,1096,89*,18.89,1155,94.89,0,6,8,107,21
SPD Smith (AUS),2010-2024,67,55,11,1094,90,24.86,872,125.45,0,5,1,96,26
TM Head (AUS),2016-2024,38,37,4,1093,91,33.12,681,160.49,0,5,2,114,53
Taranjeet Singh (ROM),2021-2024,32,32,2,1087,110,36.23,649,167.48,1,7,1,134,52
WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23
GJ Delany (IRE),2019-2024,75,66,14,1076,89*,20.69,802,134.16,0,3,3,85,49
Usman Patel (KUW),2020-2024,55,52,13,1070,111*,27.43,817,130.96,1,7,5,105,37
L Bruce (GIBR),2021-2024,42,41,4,1067,99*,28.83,944,113.02,0,12,4,109,15
SI Runsewe (NGA),2019-2024,55,54,7,1063,80,22.61,933,113.93,0,7,3,116,11
AD Russell (WI),2011-2024,83,72,24,1063,71,22.14,648,164.04,0,3,9,63,89
LD Chandimal (SL),2010-2022,68,61,7,1062,66*,19.66,1025,103.60,0,6,0,90,22
S Chandramohan (SGP),2019-2024,47,45,4,1056,100,25.75,872,121.10,1,5,4,98,47
BA Pai (GIBR),2019-2024,39,37,7,1054,107*,35.13,915,115.19,1,6,2,95,17
RN Patel (KENYA),2019-2024,56,54,10,1054,75,23.95,874,120.59,0,3,6,110,23
V Aravind (UAE),2020-2024,48,43,5,1052,97*,27.68,936,112.39,0,6,4,105,23
Sarfaraz Ali (BHR),2019-2024,52,52,3,1050,69*,21.42,722,145.42,0,6,4,91,78
N Nipiko (VAN),2019-2024,39,39,6,1031,100,31.24,868,118.77,1,6,1,80,42
CJA Amini (PNG),2015-2024,59,51,9,1028,91*,24.47,891,115.37,0,5,6,75,30
E Dusingizimana (RWN),2021-2024,62,60,3,1028,66*,18.03,966,106.41,0,4,7,104,35
I Liyanage (QAT),2020-2024,43,40,4,1027,86,28.52,856,119.97,0,7,5,107,31
HAM Shah (DEN),2019-2024,32,31,1,1026,100,34.20,845,121.42,1,8,2,96,27
DM Nakrani (UGA),2019-2024,71,61,21,1024,77*,25.60,816,125.49,0,3,3,62,67
SA Edwards (NED),2018-2024,71,63,16,1021,99,21.72,811,125.89,0,2,3,86,24
Samiullah Shinwari (AFG),2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37
Rohan Mustafa (UAE),2014-2023,58,53,5,1006,77,20.95,827,121.64,0,4,7,108,27
F Damiao Couana (MOZ),2019-2024,38,37,5,1005,104,31.40,800,125.62,1,5,3,100,38
Asif Khan (UAE),2023-2024,40,40,6,1004,79,29.52,753,133.33,0,5,3,64,60
H Klaasen (SA),2018-2024,58,53,10,1000,81,23.25,705,141.84,0,5,2,72,52
Iftikhar Ahmed (PAK),2016-2024,66,55,14,998,62*,24.34,773,129.10,0,4,2,66,44
AP Rajeevan (TAN),2022-2024,50,45,8,998,70,26.97,875,114.05,0,6,1,95,17
Razmal Shigiwal (Aut),2019-2023,39,35,5,990,95*,33.00,725,136.55,0,6,2,81,39
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21.00,825,119.63,0,5,7,100,31
A Sharafu (UAE),2020-2024,42,39,7,986,90*,30.81,738,133.60,0,7,1,101,39
ADS Fletcher (WI),2008-2024,60,57,7,984,84*,19.68,892,110.31,0,6,9,67,53
CL White (AUS),2007-2014,47,44,14,984,85*,32.80,740,132.97,0,5,3,71,44
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26
NS Dhaliwal (CAN),2019-2024,37,36,5,977,69*,31.51,773,126.39,0,7,2,77,43
Sabbir Rahman (BAN),2014-2022,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29
Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.10,1,6,1,75,43
Aizaz Khan (HKG),2014-2024,85,73,15,960,48*,16.55,867,110.72,0,0,6,67,27
Najmul Hossain Shanto (BAN),2019-2024,49,47,5,960,71,22.85,886,108.35,0,4,0,87,19
S Bau (PNG),2016-2024,56,48,7,958,65*,23.36,876,109.36,0,4,6,74,31
Gulbadin Naib (AFG),2012-2024,75,64,18,945,57,20.54,775,121.93,0,3,7,70,44
JDS Neesham (NZ),2012-2024,79,63,21,944,48*,22.47,611,154.50,0,0,6,72,51
SO Hetmyer (WI),2018-2024,62,52,5,942,81*,20.04,795,118.49,0,5,4,63,47
JJ Smit (NAM),2019-2024,55,48,20,939,71,33.53,656,143.14,0,3,2,56,58
Zeeshan Khan (MLT),2020-2024,43,42,1,937,115,22.85,777,120.59,1,3,3,106,24
BRM Taylor (ZIM),2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24
G Gambhir (IND),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10
Kushal Malla (NEP),2019-2024,47,43,10,917,137*,27.78,621,147.66,1,4,3,50,66
SJ Myburgh (NED),2012-2022,45,44,2,915,71*,21.78,799,114.51,0,5,8,100,28
Sohail Ahmed (BHR),2022-2024,35,34,11,904,80*,39.30,762,118.63,0,7,4,63,34
S Muniandy (MAS),2019-2024,85,70,18,901,60*,17.32,775,116.25,0,1,5,65,31
C Campher (IRE),2021-2024,58,51,8,898,72*,20.88,712,126.12,0,3,5,74,28
E Chigumbura (ZIM),2006-2020,57,56,9,893,54*,19.00,635,140.62,0,3,6,61,53
JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.30,0,5,2,92,16
Muhammad Usman (UAE),2016-2022,47,43,6,891,89*,24.08,778,114.52,0,3,3,73,27
Luqman Butt (CAM),2023-2024,28,28,5,884,80*,38.43,611,144.68,0,5,1,82,44
G Malla (NEP),2014-2022,45,39,1,883,107,23.23,734,120.29,1,2,1,76,36
N Davin (NAM),2019-2024,34,34,2,881,89,27.53,634,138.95,0,5,1,95,32
LS Livingstone (ENG),2017-2024,55,42,9,881,103,26.69,583,151.11,1,2,2,50,54
Manpreet Singh (SGP),2019-2024,40,38,3,878,71,25.08,687,127.80,0,5,3,48,37
TC Barker (LUX),2019-2024,40,40,1,874,78,22.41,724,120.71,0,4,5,90,19
Imran Anwar (BHR),2019-2024,68,53,5,874,87,18.20,679,128.71,0,5,8,51,62
Saber Zakhil (Belg),2019-2024,43,39,8,873,100*,28.16,539,161.96,1,2,3,46,71
NA Greenwood (JER),2019-2024,31,31,3,865,86*,30.89,599,144.40,0,4,2,91,25
A Johnson (CAN),2022-2024,25,25,2,862,121*,37.47,568,151.76,2,6,3,82,56
DM de Silva (SL),2015-2024,45,44,4,847,66*,21.17,731,115.86,0,3,2,71,18
SD Hope (WI),2017-2024,39,37,5,847,82*,26.46,612,138.39,0,5,3,69,44
KH Prajapati (OMA),2021-2024,47,46,5,843,74*,20.56,780,108.07,0,6,5,83,26
KS Leverock (BER),2019-2023,29,29,4,842,103,33.68,566,148.76,1,4,4,70,48
Kamran Khan (QAT),2019-2024,36,34,1,841,88,25.48,618,136.08,0,5,1,75,49
HL Carlyon (JER),2019-2024,39,38,1,839,110,22.67,689,121.77,1,3,3,92,25
MWR Stokes (GUE),2019-2024,38,35,11,828,67*,34.50,699,118.45,0,3,1,68,19
B Arora (MLT),2019-2024,56,51,9,826,66*,19.66,911,90.66,0,3,2,74,20
H Lakov (BUL),2019-2022,35,34,8,825,80,31.73,784,105.22,0,6,0,67,6
R Nehonde (BOT),2019-2024,50,43,7,825,63,22.91,851,96.94,0,3,3,66,15
K Nassoro (TAN),2021-2024,65,55,11,824,60,18.72,845,97.51,0,2,3,77,12
Sarfaraz Ahmed (PAK),2010-2021,61,42,12,818,89*,27.26,653,125.26,0,3,2,79,15
Chirag Suri (UAE),2018-2022,31,31,3,817,88,29.17,708,115.39,0,7,2,84,18
J Butler (GUE),2019-2024,35,33,4,816,87,28.13,747,109.23,0,3,1,74,18
SR Taylor (USA),2019-2024,30,27,3,816,101*,34.00,603,135.32,1,4,2,89,35
Mohammad Naim (BAN),2019-2022,35,35,1,815,81,23.97,788,103.42,0,4,2,76,17
Shaheryar Butt (Belg),2019-2024,38,36,8,815,125*,29.10,585,139.31,1,2,2,57,54
Faheem Nazir (SUI),2022-2024,18,18,3,813,113,54.20,537,151.39,2,6,1,89,27
W Barresi (NED),2012-2024,46,44,7,812,75*,21.94,706,115.01,0,4,4,71,21
SV Samson (IND),2015-2024,37,33,4,810,111,27.93,522,155.17,3,2,6,66,46
RB Patel (UGA),2021-2024,42,39,8,805,68*,25.96,779,103.33,0,4,3,96,8
CG Williams (NAM),2019-2022,35,33,4,805,81,27.75,713,112.90,0,6,3,69,23
V Saini (ROM),2020-2024,40,36,10,804,91*,30.92,624,128.84,0,4,3,61,25
P Khadka (NEP),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26
AA Obanda (KENYA),2007-2023,51,47,4,797,103*,18.53,670,118.95,1,1,6,100,25
Ishan Kishan (IND),2021-2023,32,32,1,796,89,25.67,640,124.37,0,6,1,79,36
IA De Silva (BUL),2020-2022,35,34,2,795,100*,24.84,690,115.21,1,4,3,72,37
V Vijh (LUX),2019-2024,42,42,6,789,64*,21.91,750,105.20,0,2,3,56,25
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.20,0,3,2,45,26
Usman Ghani (AFG),2015-2023,35,34,3,786,73,25.35,733,107.23,0,4,0,76,21
G Mckeon (Fran),2022-2024,20,20,1,785,109,41.31,534,147.00,2,4,1,66,41
Azyan Farhath (MDV),2019-2024,35,35,7,784,66*,28.00,926,84.66,0,5,0,61,12
Umar Adam (MDV),2019-2024,46,45,1,783,56,17.79,589,132.93,0,4,5,62,45
Basil Hameed (UAE),2020-2024,61,51,16,782,51,22.34,619,126.33,0,2,2,41,40
JP Kotze (NAM),2019-2024,44,40,4,780,101*,21.66,657,118.72,1,2,5,76,36
T Manders (BER),2021-2024,25,25,3,779,84,35.40,611,127.49,0,6,1,72,33
V Balakrishnan (BOT),2019-2024,42,39,5,776,101,22.82,714,108.68,2,2,0,73,24
DMW Rawlins (BER),2019-2023,28,27,5,776,91,35.27,515,150.67,0,6,1,58,50
L Siaka (PNG),2015-2024,62,55,5,773,55,15.46,681,113.50,0,1,8,59,23
L Yamamoto-Lake (JPN),2022-2024,36,36,3,772,134*,23.39,561,137.61,1,4,5,80,31
LA Dunbar (SRB),2019-2024,29,28,6,771,117,35.04,597,129.14,2,3,3,62,50
MNM Aslam (KUW),2019-2024,67,44,6,770,55,20.26,690,111.59,0,3,3,67,17
RR Rossouw (SA),2014-2023,29,27,5,767,109,34.86,480,159.79,2,3,5,69,39
KR Mayers (WI),2020-2024,38,37,2,762,73,21.77,551,138.29,0,3,1,68,51
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137.00,0,4,9,68,31
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.90,623,121.34,0,3,4,41,34
Yasir Ali (ESP),2019-2024,38,36,8,755,80*,26.96,753,100.26,0,4,3,58,23
S Wickramasekara (CZK-R),2019-2023,34,33,6,748,104*,27.70,499,149.89,1,6,3,55,46
MD Gunathilaka (SL),2016-2022,46,45,0,741,57,16.46,615,120.48,0,3,4,78,21
S Ravichandran (JPN),2022-2024,34,33,4,741,86*,25.55,551,134.48,0,4,1,68,18
Ahmer Bin (BHR),2022-2024,44,38,8,738,62,24.60,614,120.19,0,4,1,60,16
AR Ramjani (UGA),2022-2024,54,38,9,736,78,25.37,561,131.19,0,4,3,55,30
K Waiswa (UGA),2020-2024,73,57,11,736,66*,16.00,688,106.97,0,1,6,71,19
I Danladi (NGA),2019-2024,38,35,4,734,80,23.67,582,126.11,0,1,1,67,26
PBB Rajapaksa (SL),2019-2025,44,39,7,733,77,22.90,552,132.78,0,3,3,63,31
MA Leask (SCOT),2013-2024,67,54,7,726,58,15.44,557,130.34,0,1,4,51,36
C Rubagumya (RWN),2021-2024,75,65,12,726,40,13.69,852,85.21,0,0,9,44,10
MJ Santner (NZ),2015-2025,109,74,31,725,77*,16.86,603,120.23,0,1,5,55,24
MR Adair (IRE),2019-2024,88,63,13,724,72,14.48,577,125.47,0,1,5,51,33
Basil George (MLT),2021-2024,34,34,2,724,103*,22.62,583,124.18,1,3,2,51,38
YBK Jaiswal (IND),2023-2024,23,22,2,723,100,36.15,440,164.31,1,5,2,82,38
BFW de Leede (NED),2018-2024,41,38,10,722,91*,25.78,707,102.12,0,4,4,52,18
